module_number,module_name,description
3300005,Lecture Series "Enabling Net Zero" (ENZo),
2511021,Übungen zu Programmierung kommerzieller Systeme - Anwendungen in Netzen mit,
2511023,Rechnerpraktikum zu Programmierung kommerzieller Systeme - Anwendungen in,
2109021,Human-oriented Productivity Management: Personnel Management,
5200001,Biophysikalische Chemie II für Chemische Biologen und Lebensmittelchemiker,
5200002,Übungen zur Vorlesung Biophysikalische Chemie II für Chemische Biologen und,
2134138,Fundamentals of catalytic exhaust gas aftertreatment,
2211010,3.6.3. Sonstige Veranstaltungen,
5012052,Forum for Critical Interdisciplinarity,
7400107,F3-Praktikum Signal transduction in eukaryotic systems (MPRO-3309),
4040133,Physikalisches Anfängerpraktikum für die Studiengänge Chemische Biologie,
4040122,Übungen zur Experimentalphysik B für die Studiengänge Angew. Geowiss.,
2200305,Basic Practical Course - Part II: Process Engineering,
2200320,Research Internship Master BIW,
2231501,Internship - Question Time,
2210010,Introduction into Bioengineering,
2210020,Team Project "99€ Bioreactor": Development of an Innovative Bioreactor,
2210030,Plant and System Design,
2210050,Institutsseminar BLT,
2214211,Profile Subject Biotechnology - Laboratory Work (2214210),
2214212,Profile Subject Biotechnology - Exercises on Management of Scientific Projects,
2212050,Intensification of Bioprocesses,
2212051,Intensification of Bioprocesses - Exercises,
2212052,Intensification of Bioprocesses - Lab,
2212053,Project Internship Intensification of Bioprocesses (for Biology Students),
2212112,Biology for Engineers - Microbiology,
2212175,Practical Project in Technical Biology,
2212230,Industrial Biocatalysis,
2212810,Commercial Biotechnology,
2212900,Electrobiotechnology Seminar,
2212950,Betreuung von Bachelor- und Masterarbeiten,
2211041,Food Technology - Project Work,
2211043,Food Technology - Excursion,
2211220,Team Project "Eco TROPHELIA": Development of an Innovative Food Product,
2211230,Emulsion Technology,
2211330,Alternative Protein Technologies,
2211900,Seminar Lebensmittelverfahrenstechnik,
2211901,Doktorandenseminar Lebensmittelverfahrenstechnik,
2211910,Aktuelle Fragen der Lebensmittelverfahrenstechnik,
2211950,Betreuung von Bachelor- und Masterarbeiten,
2213060,Microsystems in Bioprocess Engineering,
2213070,Advanced Scientific Methods,
2213110,Project Module: Metabolic Engineering of Microbial Cell Factories (for Biology,
2213111,Project Module: Modern Methods in Microbial Biotechnology (for Biology,
2213900,Seminar „Mikrosysteme in der Bioverfahrenstechnik“,
2213950,Betreuung von Bachelor- und Masterarbeiten,
2213960,Anleitung zum selbstständigen wissenschaftlichen Arbeiten,
2214020,Industrial Aspects in Bioprocess Technology,
2214040,Biopharmaceutical Process Engineering,
2214041,Excercises on 2241040 Biopharmaceutical Process Engineering,
2214060,Laboratory Work: Downstream Processing,
2214110,Process Modeling in Downstream Processing,
2214900,Seminar Biomolecular Engineering,
2214910,Seminar für Doktoranden und Mitarbeiter,
2214915,Seminar for Doctoral Students and Employees,
2214940,Purification and Processing in the Biopharmaceutical Industry,
2214950,Supervision of Bachelor and Master Thesis,
2214955,Supervision of Bachelor and Master Thesis,
2214960,Instruction for Scientific Work,
2220012,Revision Course for the Chemical Process Engineering Exam,
2220023,Chemical Reaction Engineering - Project Work,
2220024,Specialized Course Chemical Process Engineering - Excursion,
2220030,Kinetics and Catalysis,
2220031,Kinetics and Catalysis - Exercises,
2220040,Engineering Heterogeneous Catalysis,
2220041,Engineering Heterogeneous Catalysis - Exercises,
2220060,Reactor Modeling with CFD,
2220061,Exercise Reactor Modeling with CFD,
2220110,Power-to-X: Key Technology for the Energy Transition,
2220111,Practical in Power-to-X: Key Technology for the Energy Transition,
2220120,Electromagnetic Energy in Process Engineering,
2220121,Exercise on 2220120 Electromagnetic Energy in Process Engineering,
2220122,Practical on 2220120 Electromagnetic Energy in Process Engineering,
2220210,Catalytic Micro Reactors,
2220211,Catalytic Micro Reactors - Practical Course,
2220221,Micro Process Engineering - Project Work,
2220330,Measurement Techniques in Chemical Processing,
2220331,Measurement Techniques in Chemical Processing - Practical Course,
2220332,Measurement Techniques in Chemical Processing - Colloquium,
2220900,Seminar Chemische Verfahrenstechnik,
2220910,Seminar Mikroverfahrenstechnik,
2220950,Betreuung von Bachelor- und Masterarbeiten,
2220960,Anleitung zu selbständigen wissenschaftlichen Arbeiten,
2231011,Process Technology and Plant Design II,
2231030,Electrification of the Process Industry,
2231110,Fluidized Bed Technology,
2231120,Refinery Technology - Liquid Fuels,
2231121,Refinery Technology - Exercises,
2231151,Energy and Environmental Engineering - Project Work,
2231160,Ethics and Global Material Cycles,
2231210,Processes and Process Chains for Renewable Resources,
2231312,Project Work in the Profile Course "Process Development and Scale-up",
2231330,Innovation Management for Products and Processes in the Chemical Industry,
2231410,Catalysts for the Energy Transition,
2231411,Übungen zu 2231410 Catalysts for the Energy Transition,
2231430,Green Ammonia,
2231431,Green Ammonia Excursion,
2231440,Practical Synthesis of Electrochemical Materials,
2231520,Catalytic Processes in Gas Technologies,
2231810,Process and Plant Safety,
2231900,Brennstofftechnisches Kolloquium,
2231901,Brennstofftechnisches Seminar für Fortgeschrittene,
2231902,Proseminar Brennstoffe,
2231910,Kolloquium IKFT,
2231950,Betreuung von Bachelor- und Masterarbeiten,
2231955,Betreuung von Bachelor- und Masterarbeiten,
2231960,Anleitung zu selbständigen wissenschaftlichen Arbeiten,
2231965,Anleitung zu selbständigen wissenschaftlichen Arbeiten,
2231966,Wissenschaftliches Präsentieren und Veröffentlichen,
2232020,Combustion and Environment,
2232030,Hydrogen and Fuel Cell Technologies,
2232060,Practical Course Combustion Technology,
2232120,Numerical Simulation of Reacting Multiphase Flows,
2232121,Numerical Simulation of Reacting Multiphase Flows - Exercises,
2232210,High Temperature Process Engineering,
2232211,High Temperature Process Engineering - Exercises,
2232222,Circular Economy - Project Work,
2232321,Laboratory Work in Combustion Technology,
2232820,Flow and Combustion Instabilities in Technical Burner Systems,
2232900,Seminar Verbrennungstechnik,
2232901,Kolloquium Verbrennungstechnik,
2232910,Seminar Hochtemperaturverfahrenstechnik,
2232950,Betreuung von Abschlussarbeiten,
2232951,Betreuung von Seminar- und Projektarbeiten,
2232955,Supervision of Student Theses,
2232960,Anleitung zu selbständigen wissenschaftlichen Arbeiten,
2232970,Exkursion im Rahmen der Qualitätssicherungsmaßnahmen,
2233011,Membrane Technologies in Water Treatment - Excercises,
2233900,Seminar Wasserchemie und Wassertechnologie,
2233901,Wasserchemisches und Wassertechnologisches Kolloquium,
2233910,Seminar Membrane Technology,
2233950,Betreuung von Bachelor-,
2233960,Anleitung zu selbständigen wissenschaftlichen Arbeiten,
2240010,Seminar für Mechanische Verfahrenstechnik und Mechanik,
2240020,Betreuung von Abschlussarbeiten,
2240030,Anleitung zu selbständigen wissenschaftlichen Arbeiten,
2241020,Additive Manufacturing for Process Engineering,
2241021,Practical in Additive Manufacturing for Process Engineering,
2242027,Formulation and Characterization of Energy Materials - Project Work,
2242040,Rheology of Disperse Systems,
2242050,Rheology of Polymers,
2242110,Microrheology and High Frequency Rheology,
2242220,Engineering Mechanics: Strength of Materials,
2242221,Exercises on 2242220 Engineering Mechanics: Strength of Materials,
2242222,Seminar zur Technischen Mechanik – Festigkeitslehre,
2242900,Seminar für Angewandte Mechanik,
2242901,Seminar über aktuelle Fragen der Rheologie und Formulierung komplexer Fluide,
2243010,Control Engineering and System Dynamics,
2243011,Exercises on Control Engineering and System Dynamics,
2243012,Tutorial on Control Engineering and System Dynamics,
2243022,Automation and Control Systems Engineering - Project Work,
2243030,Optimal and Model Predictive Control,
2243031,Optimal and Model Predictive Control - Exercises,
2243035,Advanced Methods in Nonlinear Control,
2243040,Control of Distributed Parameter Systems,
2243080,Programming and Numeric Simulation Using MATLAB,
2243090,Simulation Methods for Dynamic Systems,
2243091,Simulation Methods for Dynamic Systems - Exercises,
2243120,Dynamics of Process Engineering Systems,
2243121,Dynamics of Process Engineering Systems - Exercises,
0169050,Hackathon I,
2244022,Air Pollution Control - Project Work,
2244030,Particle Technology,
2244031,Particle Technology - Exercises,
2244040,Clean Air - Laws,
2244110,Nanoparticles - Structure and Function,
2244111,Nanoparticles - Structure and Function - Exercises,
2244210,Process Engineering in Excel,
2244900,Seminar Gas-Partikel-Systeme,
2244910,Seminar aktuelle Fragen der Partikeltechnik,
2245010,--- Page 166 ---,
2245011,Fluiddynamics - Exercises,
2245120,Data Analysis and Statistics,
2245210,Design of Machines,
2245211,Design of Machines - Exercises,
2245232,Project Work for Profile Subject Mechanical Separation Techniques,
2245830,Applied Apparatus Engineering,
2245840,Materials and Processes for Electrochemical Storage,
2245900,Seminar Process Machines,
2245901,Seminar Problems of Process Machines,
2245911,Work Group Seminar on NMR,
2250020,Thermodynamics II,
2250021,Thermodynamics II - Exercises,
2250022,Tutorial Thermodynamics I and II,
2250040,Statistical Thermodynamics,
2250041,Statistical Thermodynamics - Exercises,
2250050,Thermodynamics of Interfaces,
2250051,Exercises on 2250050 Thermodynamics of Interfaces,
2250052,Project Work on 2250050 Thermodynamics of Interfaces (MACH),
2250112,Fundamentals of Refrigeration - Project Work,
2250120,Refrigeration B,
2250121,Exercises on 2250120 Refrigeration B,
2250130,Physical Foundations of Cryogenics,
2250131,Exercises on 2250130 Physical Foundations of Cryogenics,
2250900,Thermodynamisches Seminar für Bachelor- und Masterarbeiten,
2250901,Thermodynamisches Seminar für Fortgeschrittene,
2250940,Exkursion Thermodynamik und Kältetechnik,
2250950,Betreuung von Abschlussarbeiten,
2250960,Anleitung zu selbständigen wissenschaftlichen Arbeiten,
2260030,Heat and Mass Transfer,
2260031,Exercises on 2260030 Heat and Mass Transfer,
2260130,Thermodynamics for Bioengineering,
2260131,Exercises on 2260130 Thermodynamics for Bioengineering,
2260150,Thermal Process Engineering II,
2260151,Exercises on 2260150 Thermal Process Engineering II,
2260165,Applied Model Development and Simulation in Thermal Process Engineering,
2260170,Aufgabenstellung des chemPLANT-Wettbewerbs des VDI. Anmeldung in Gruppen zu 5,
2260310,Grundlagen der Angewandten Thermischen Verfahrenstechnik (Profilfach),
2260311,Ausgewählte Kapitel der Angewandten Thermischen Verfahrenstechnik (Profilfach),
2260312,Praktikum zu Angewandte Thermische Verfahrenstechnik (Profilfach),
2260810,Process Development in the Chemical Industry,
2260900,Seminar Thermische Verfahrenstechnik,
2260901,Seminar Thermische Verfahrenstechnik für Fortgeschrittene,
2260910,Kolloquium "Thermische Verfahrenstechnik",
2260915,Kolloquium "Wärme- und Stoffübertragung",
2260950,Betreuung von Bachelor- und Masterarbeiten,
2260960,Anleitung zu selbständigen wissenschaftlichen Arbeiten,
2213111,Project Module: Modern Methods in Microbial Biotechnology (for Biology Students),
0150700,Einstieg in die Informatik und Algorithmische Mathematik (für Bio- und Chemie-,
0150800,Übungen zu 0150700,
0150900,Praktikum zu 0150700,
0161700,Computational Fluid Dynamics and Simulation Lab,
0164200,Numerische Methoden in der Strömungsmechanik,
0164210,Übungen zu Numerische Methoden in der Strömungsmechanik (0164200),
0181000,Höhere Mathematik II für die Fachrichtungen Chemieingenieurwesen und,
0181100,Übungen zu 0181000 (Höhere Mathematik II für Ciw/Biw/Mit),
0181800,Mathematical Modeling for Biochemical Engineering,
2106008,Organ support systems,
2142879,BioMEMS - Microsystems Technologies for Life-Sciences and Medicine III,
2142883,BioMEMS - Microsystems Technologies for Life-Sciences and Medicine II,
2146176,Methods and Processes of PGE – Product Generation Engineering,
2146189,Beratung der Studenten bei der Vorbereitung der MKL-Prüfung (Prof. Düser),
2146200,Mechanical Design B,
2146201,Exercises for Mechanical Design B,
2146202,Workshop of Mechanical Design B,
2182562,Materials Science and Engineering II for ciw,
2260210,Drying Technology,
2260211,Exercises on 2260210 Drying Technology,
2260243,Introduction to Thin Film Technology - Project Work,
2260244,Introduction to Thin Film Technology - Excursion,
2260920,Kolloquium "Thin Film Technology",
2260951,Betreuung von Bachelor- und Masterarbeiten,
2260961,Anleitung zu selbständigen wissenschaftlichen Arbeiten,
2302145,Process Analysis: Modeling,
2304214,Battery and Fuel Cell Systems,
2304217,Modellbildung elektrochemischer Systeme,
2304301,Exercise to 2304300 Electrocatalysis,
2304303,Laboratory Electrochemical Energy Technologies,
2304356,Electrochemical Energy Technologies,
2304357,Exercices to 2304356 Electrochemical Energy Technologies,
2305263,Medical Imaging Technology,
2305282,Physiology and Anatomy for Engineers II,
2305302,Modeling Physiological Systems,
2305303,Exercise to 2305302 Modeling Physiological Systems,
2400024,Deep Learning and Neural Networks,
2400141,Multimodal Artificial Intelligence,
2245010,--- Page 177 ---,
2260170,Aufgabenstellung des chemPLANT-Wettbewerbs des VDI. Anmeldung in Gruppen,
2260170,Aufgabenstellung des chemPLANT-Wettbewerbs des VDI. Anmeldung in,
2304224,Elektrotechnik II für Wirtschaftsingenieure,
2308450,Electronic Devices and Circuits - Workshop,
5012131,Fachdidaktik NWT 1,
5012132,Gestaltung von Lehr- und Lernprozessen im naturwissenschaftlich-technischen,
2182731,Finite Element Workshop,
2211010,--- Page 212 ---,
2290003,Aktuelle und zukünftige Fertigungstechnologien für den NwT-Unterricht,
2303003,Exercises for 2303161 Mechatronical Systems and Products,
2303161,Mechatronical Systems and Products,
2303185,Information and Automation Technology,
2303186,Practice to Information and Automation Technology,
2303187,Information and Automation Technology - Lab Course,
2303650,Seminar Industrial Process and Plant Engineering,
2307356,Power Generation,
5000053,Digitale Werkzeuge im naturwissenschaftlich-technischen Unterricht,
2303150,Office Hours Prof. Hohmann,
2303300,Office Hours Prof. Barth,
2303153,Seminar Automatisierungstechnik,
2303303,Anleitung zum wissenschaftlichen Arbeiten,
2303173,Nichtlineare Regelungssysteme,
2303162,Optimal Control and Estimation,
2303169,Control Theory Laboratory,
2303192,Innovation Lab,
2303200,Laser Metrology,
2303600,Numerical Methods for Partial Differential Equations,
2303601,Practice to 2303180 Numerical Methods for Partial Differential Equations,
2302300,Measurement and Control Technology,
2302301,Practice to 2302300 Measurement and Control Technology,
2303310,Cyber Physical Modeling,
2303311,Tutorial to 2303310 Cyber Physical Modeling,
2306310,Project BSc ETIT,
2303320,Nonlinear Control Systems,
2303321,Exercises to 2303320 Nonlinear Control Systems,
2303330,Research Seminar Cooperative and Haptic Human-Machine Interactions,
2302003,Office Hours Prof. Wahls,
2302004,Office Hours Dr. Gardi,
2302002,Office Hours Prof. Heizmann,
2302001,Seminar: Mechatronische Messsysteme,
2302103,Seminar Signalverarbeitung,
2302116,Manufacturing Measurement Technology,
2302144,Information Technology in Industrial Automation Systems,
2302134,Signal Processing Lab,
2302905,Signals and Systems - Workshop,
2302135,Signal Processing with Nonlinear Fourier Transforms and Koopman Operators,
2302136,Practice to 2302135 Signal Processing with Nonlinear Fourier Transforms and,
2302200,Practical Machine Learning,
2302106,Distributed Discrete Event Systems,
2302108,Practice to Distributed Discrete Event Systems,
2302652,Information Processing,
2311652,Practical Exercise for 2302652 Information Processing,
2311653,Workshop Information Processing,
2304202,Office Hours Prof. Krewer,
2304205,Office Hours Prof. Schröder,
2304203,Seminar über wissenschaftliche Arbeiten,
2304204,Seminar Bachelor- und Masterarbeiten,
2304302,Seminar Electrocatalysis,
2304227,Seminar Fuel Cells,
2304226,Seminar Batteries,
2304360,Seminar Electrolyzers and their Electrodes,
2304209,Seminar for Bachelor and Master theses,
2305500,Sprechstunde Prof. Spadea,
2305264,Bioelectric Signals,
2305272,Radiation Protection,
2305295,Ultrasound Imaging,
2305253,Seminar über aktuelle Forschungsarbeiten in der Biomedizinischen Technik,
2305002,Forschungsseminar Optische Technologien in der Medizin,
2305003,Research Seminar: Computational Cardiac Modeling,
2305280,Biomedical Image Processing for Clinical Applications,
2305744,Introduction to the Scientific Method (Seminar,
2305745,Introduction to the Scientific Method,
2305274,Begleitseminar zu Medizintechnik in der Klinik,
2305271,Biomedical Engineering in Clinical Practice,
2305273,Einführungspraktikum Medizintechnik,
2305292,Optical Systems in Medicine and Life Science,
2305301,Regulatory Affairs and Quality Management in Medical Device Product Development,
2305250,Lecture Series "Supply Chains in the Healthcare Sector",
2305266,Medical Measurement Technology Development Lab,
2305243,Technologies in Radiotherapy,
2305180,Practical Introduction to Research Software Engineering,
2305244,Laboratory Sessions to Technologies in Radiotherapy,
2306305,Seminar über Bachelor-,
2306303,Seminar über wissenschaftliches Arbeiten auf dem Gebiet elektrischer Maschinen,
2306330,Basics of Converter Control,
2306323,Power Electronics,
2306324,Tutorial for 2306385 Power Electronics,
2306337,Control of Power-Electronic Systems,
2306338,Tutorial for 2306337 Control of Power-Electronic Systems,
2114917,Engineer's Field of Work,
2306317,Seminar New Power Electronic Systems and Technologies,
2306318,Seminar Power Electronics in Regenerative Energy Systems,
2306331,Lab Course Electrical Drives and Power Electronics,
2306346,Laboratory Hardware and Software in Power Electronic Systems,
2306333,Workshop Finite Element Method in Electromagnetics,
2300004,Ausweich- und Praktikumstermin für ETI-Vorlesungen,
2306347,Power Electronics for Photovoltaics and Wind Energy,
2306200,Electric Energy Systems,
2306201,Practice to Electric Energy Systems,
2306500,Electric Drives for E-Mobility,
2306501,Practice to 2306500 Electric Drives for E-Mobility,
2306505,Hybrid and Electric Vehicles,
2307350,Sprechstunde Prof. Leibfried,
2307354,s. Inst.-Anschlag,
2307378,Electronics and EMC,
2307380,Photovoltaic System Design,
2307395,Introduction to High Voltage Engineering,
2307358,Pulsed Power Technology and Applications,
2307357,The Energy Transition of the Electrical Transmission Grid,
2307352,Abschlussarbeit Elektroenergiesysteme,
2307353,Seminar Elektroenergiesysteme und Hochspannungstechnik,
2307388,Information Systems in Power Engineering Lab,
2307355,Laboratory Modern Software Tools in Power Engineering,
2307397,Components of Power Systems,
2307376,Electric Power Transmission & Grid Control,
2307377,Tutorial for 2307376 Electric Power Transmission & Grid Control,
2307399,Electric Power Generation and Power Grid,
2308404,Seminar Bachelor- und Master-Arbeiten,
2308420,Microwaves Measurement Techniques,
2308422,Practical Exercise to 2308420 Microwaves Measurement Techniques,
2308428,Spaceborne Radar Remote Sensing,
2308429,Tutorial Spaceborne Radar Remote Sensing,
2308427,Spaceborne Radar Remote Sensing,
2308430,Modern Radio Systems Engineering,
2308431,Tutorial to 2308430 Modern Radio Systems Engineering,
2308448,Space-borne Microwave Radiometry - Advanced Methods and Applications,
2308655,Electronic Devices and Circuits,
2308657,Übungen zu 2312655 Elektronische Schaltungen,
2308658,Tutorien zu 2312655 Elektronische Schaltungen,
2308419,Radio Frequency Integrated Circuits and Systems,
2308421,Workshop for 2308421 Radio Frequency Integrated Circuits and Systems,
2308441,Modern VLSI Technologies,
2308442,Tutorial Modern VLSI Technologies,
2308443,Mixed-Signal IC Design,
2308440,Navigation and Localization Techniques,
2308423,MMIC Design Laboratory,
2308424,Workshop Applied Radio Frequency,
2308415,Microwave Engineering Lab,
2310400,Fundamentals of Data Transmission,
2310401,Practice to 2310400 Fundamentals of Data Transmission,
2310402,Tutorials to 2310400 Fundamentals of Data Transmission,
2308461,Exercise for 2308460 Practical Amplifier Design,
2308460,Practical Amplifier Design,
2308490,Ersetzt für Bachelor "Antennen und Mehrantennensysteme" aus dem,
2308492,Workshop Antennas (to 2308490),
2308481,Scanning Probe Lithography for Biomedical Applications,
2309450,Office Hours Prof. Randel,
2309451,Sprechstunde Prof. Koos,
2309452,Sprechstunde Prof. Freude,
2309454,Office Hours Prof. Huber-Loyola,
2309453,Seminar über Abschluss- u. Forschungsarbeiten am Institut für Photonik u.,
2309468,Nonlinear Optics,
2309469,Nonlinear Optics (Tutorial),
2309472,Digital Signal Processing in Optical Communications,
2309473,Digital Signal Processing in Optical Communications (Practical Exercises),
2309486,Optoelectronic Components,
2309487,Optoelectronic Components (Tutorial),
2309478,Photonic Integrated Circuit Design and Applications,
2309479,Photonic Integrated Circuit Design and Applications (Practical Exercise),
2309490,Photonics and Communications Lab,
2309491,Optics and Photonics Lab (KSOP),
2312671,Superconducting Nanowire Detectors,
2312673,Practice to 2312671 Superconducting Nanowire Detectors,
2310001,Office Hours Prof. Dr.-Ing. Laurent Schmalen,
2300005,Office Hours Prof. Dr.-Ing. Peter Rost,
2310000,Office HoursDr.-Ing. Jäkel,
2310503,Seminar Nachrichtensysteme,
2300006,Seminar Verfahren der Nachrichtentechnik,
2310515,Modeling and Simulation for Engineering Complex Systems,
2310516,Übung zu Grundlagen der Modellierung und Simulation komplexer Systeme,
2310300,Methods of Communications Engineering,
2310301,Practice to 2310300 Methods of Communications Engineering,
2310534,Signal Processing in Communications,
2310535,Practice to 2310534 Signal Processing in Communications,
2310546,Channel Coding: Algebraic Methods for Communications and Storage,
2310560,Machine Learning and Optimization in Communications,
2310561,Practice to 2310560 Machine Learning and Optimization in Communications,
2310566,Satellite Communications,
2310517,Communications Engineering Lab,
2310512,Seminar Selected Topics in Communications,
2310514,Mobile Communications II,
2310522,Mobile Communications Workshop,
2310565,Coding of Audiovisual Signals,
2311616,Communication Systems and Protocols,
2311618,Tutorial for 2311616 Communication Systems and Protocols,
2311619,Hardware Synthesis and Optimization,
2311621,Tutorial for 2311619 Hardware Synthesis and Optimization,
2311630,Integrated Intelligent Sensors,
2311642,Systems Engineering for Automotive Electronics,
2311644,Tutorial for 2311642 Systems Engineering for Automotive Electronics,
2311627,Seminar Embedded Systems,
2311633,Seminar Creating a Patent Specification,
2311628,Seminar Fundamentals of Embedded Systems,
2311637,Laboratory in Design Automation,
2311640,Laboratory in Software Engineering,
2311645,Digital Hardware Design Laboratory,
2311647,Optical Design Lab,
2311611,Software Engineering,
2311500,Introduction to Systems Engineering and AI-Methods,
2311501,Practice to Introduction to Systems Engineering and AI-Methods,
2311502,Laboratory Systems Engineering and AI-Methods,
2312661,Office Hours Prof. Holzapfel,
2312693,Office Hours Prof. Kempf,
2312653,Seminar Herstellung,
2312005,Ort: Institut für Mikro- und Nanoelektronische Systeme,
2312683,Digital Circuit Design,
2312685,Practical Excercise to 2312683 Digital Circuit Design,
2312668,Nano- and Quantum Electronics,
2312670,Tutorial for 2312668 Nano- and Quantum Electronics,
2312696,Superconducting Materials Part II,
2312698,Superconducting Magnet Technology,
2310542,Seminar on Applied Superconductivity,
2312684,Project Management for Engineers,
2312669,Laboratory Nanoelectronics,
2312674,Laboratory FPGA Based Circuit Design,
2312675,Lab Course on Superconducting Quantum Electronics,
2312695,Lab Course on Superconducting Materials,
2312677,Introduction to Quantum Information Processing,
2312678,Tutorial for 2312677 Introduction to Quantum Information Processing,
2312681,Lab Course on Design and Layout of Quantum Cirucits,
2312682,Lab Course on Noise Thermometry,
2312100,Quantum Engineering,
2312101,Tutorial to 2312100 Quantum Engineering,
2313000,Sprechstunde Prof. Lemmer,
2313001,Office Hours Prof. Neumann,
2313003,Office Hours Prof. Powalla,
2313005,Office Hours Prof. Colsmann,
2313007,Office Hours Prof. Paetzold,
2313006,Office Hours Prof. Hernandez-Sosa,
2313717,Visual Perception in the Automobile,
2313736,Optoelectronic Measurement Engineering,
2313738,Tutorial 2313737 Photovoltaik,
2313740,Optical Technologies for Automotive Applications,
2313746,Electronic Circuits for Light Sources and Laser,
2313758,Electronic Properties of Solids for Materials Science,
2313759,Practice to 2313758 Electronic Properties of Solids for Materials Science,
2313760,Fabrication and Characterization of Optoelectronic Devices,
2313761,Seminar Novel Concepts for Solar Energy Harvesting,
2313708,Laboratory Solar Energy,
2313712,Laboratory Optoelectronics,
2313714,Laboratory Nanotechnology,
2313715,Laboratory Lighting Technology,
2313765,Printed Flexible Electronics Lab,
2313766,Seminar Advanced Concepts for Flexible and Soft Optoelectronic Devices and,
2313728,Practice to 2313726 Optoelectronics,
2313726,🗙 Cancelled,
2313770,Opto- and Nanoelectronic Devices,
2313771,Exercise for 2313770 Opto- and Nanoelectronic Devices,
2314013,Digital Real Time Simulations for Energy Technologies,
2314014,Basics of Electrical Engineering,
2314015,Practical Exercise to 23014014 Basics of Electrical Engineering,
2306300,Basics of Electrical Engineering,
2142874,Introduction to Microsystem Technology II,
2581010,Introduction to Energy Economics,
2581011,Übungen zu Einführung in die Energiewirtschaft,
0180300,Numerical Methods (Electrical Engineering,
0180400,Tutorial for 0180300 (Numerical Methods (Electrical Engineering,
2400007,Deep Learning for Computer Vision I: Basics,
2400170,Laboratory: Smart Energy System Lab,
5011000,Technology in Nature and Society: Theories,
5011001,Technology in Nature and Society: Methods,
5012069,History of Technology and the Environment for Mechanical Engineering Students,
5011003,Environment Ethics and Technology,
5012079,Philosophy of Science,
1130716,Lecture series Science in Society,
5012008,Golo Mann's historiography,
5012030,History of national socialism,
5012015,Introduction to political history: E. Jäckel,
5012046,The History of Scientific Expeditions in its Colonial Contexts,
5012025,Writing Workshop: From "Shitty First Draft" to the Final Product,
5013104,Literature in the media revolution (Med./NdL),
5013105,Novels in media change: prose novels of the late Middle Ages and the Early,
5013204,Introduction to Medieval German Language and Literature (B.Ed.),
5013106,''Sus wolt der tac si scheiden'' – Medieval ‚Tageliet‘ (B.Ed.),
5013709,Heroes between knowledge and ignorance – facets of ''tumpheit'' in medieval,
5012055,Kant: Groundwork of the Metaphysics of Morals,
5012059,Equality and Justice,
5012062,Critical Thinking and Argumentation Analysis,
5012009,Als Studienleistung wird von Ihnen das Verfassen dreier,
5012072,Advanced seminar (HS),
5012036,Science and Epistemology,
5012070,Advanced Graduate,
5012017,Introduction to Philosophy II,
5012002,Introduction to Philosophy IV - Group A,
5012007,Introduction to Philosophy IV - Group B,
5012022,Introduction to Philosophy IV - Group C,
5012020,Doing Philosophy with Thought Experiments: Why and How,
5000128,PhD and Master's Colloquium,
5012157,Concomitant Seminar to Student's Research and Inquiry,
5012168,History of Educational Institutions,
5012118,Contemporary Research Themes in Vocational Education,
5012113,Vocational biography design at the intersection of school to work transition.,
5000009,Media education,
5012105,Organizational and Staff Development,
5012109,Special Vocational Education at School and at Training,
5012112,Vocational Education and Training across Europe,
5012115,From Work Analysis to Planning of Vocational Training,
5012116,Reading Course for Vocational Education and Training,
5012119,Project and Research Seminar,
5012124,Nachbereitendes Seminar zum Berufspädagogischen Praktikum bzw.,
5012125,Didactics of construction engineering,
5012126,Teaching methodology for metal technology,
5012127,Fachdidaktik Elektrotechnik / Informationstechnik,
5012128,Didactics of economics and business administration,
5012130,Bildung in the tension between individual and society,
5012136,Modulübergreifende Prüfung SPSII und III: Einführungsveranstaltung,
5012139,Company Practice and School,
5012140,Nachbereitendes Seminar zum (berufs)pädagogischen Berufspraktikum (BA Päd),
5012165,Digitalization in the context of work,
5012180,Introduction Developmental Psychology,
5012138,Mentoring Ingenieurpädagogik B.Sc.,
5012134,learning systems and learning software,
5012399,Challenges of vocational skill development,
5000467,Dealing with Stress in the Teaching Profession,
5012150,Fundamental Questions of Pedagogy,
5012152,Didactics and Methodology,
5012153,Inclusive Education in Adolescence,
5012160,Media Education,
5012171,Teacher Leadership and Attitude – How Does Mindset Shape Our Actions?,
5000074,Deeper Learning – Heterogeneity and Diversity in Schools and Other Educational,
5000070,Designing Sustainability-Focused Learning Stations,
5000075,Heterogeneity at Secondary School – Understanding Diversity,
5000076,Critical Literacy for Climate Action,
5000064,Media Design – Digital Learning at School,
5014220,Media Cultural Studies Film Analysis,
5014301,Advanced Cultural Work,
5014200,Media Theory - Course A [MeWi],
5014206,Tutorial Introduction to Media Studies [MeWi],
5014162,Media Analysis: Ecocinema. Nature and Environment in Contemporary,
5014166,Media Analysis: "Of Churches,
5014165,East Asia,
5012502,Media Dispositifs,
5014300,Imaginaries of urban innovations,
1130151,From Jingles to Soundscapes - a Creative Weekend with the Audio Medium,
1130260,Podcasting in the AI Era. From DIY to Co-Creation,
1130441,Presswork and Journalism in Times of Social Media,
1130585,ARTE in the Turn of the Times. Documentaries and Communication,
5014218,Media Design: Filmproduction,
1130712,Pimp your science! Visual Design with Gimp,
5000004,Social-science Methods of Technology Assessment,
5000048,Socio-scientific Theories of Technology Assessment,
5000072,Collaboration with different societal actors in TA,
5012024,Advanced Graduate,
